provincia,municipio,id,link_2,"1869 total","1869 hombres","1869 mujeres","1881 total","1881 hombres","1881 mujeres","1895 total","1895 hombres","1895 mujeres","1914 total","1914 hombres","1914 mujeres","1947 total","1947 homres","1947 mujeres","1960 total","1960 hombres","1960 mujeres","1970 total","1970 hombres","1970 mujeres","1980 total","1980 hombres","1980 mujeres","1991 total","1991 hombres","1991 mujeres","2001 total","2001 hombres","2001 mujeres","2010 total","2010 hombres","2010 mujeres"
"Buenos Aires","Nueve de Julio",89,90,2133,1312,821,7832,4601,3231,17100,9937,7163,29490,16970,12520,40305,21217,19088,38283,19752,18531,38316,19282,19034,41726,20952,20774,44021,21662,22359,45998,22247,23751,47722,23140,24582
"Buenos Aires",Olavarría,90,91,,,,7375,4753,2622,15977,9110,6867,27417,15346,12071,48545,26058,22487,59479,31103,28376,73469,38332,35137,89528,45497,44031,98014,48515,49499,103961,51307,52654,111708,55288,56420
"Buenos Aires",Patagones,91,92,2567,1014,1553,2151,1246,905,4641,2762,1879,8288,4789,3499,15287,8138,7149,17010,9061,7949,17296,9433,7863,24136,12377,11759,27469,14122,13347,27938,13913,14025,30207,15000,15207
"Buenos Aires",Pehuajó,92,93,,,,,,,12275,7025,5250,29734,16420,13314,40294,21052,19242,28614,14687,13927,33881,17351,16530,37616,18960,18656,38151,18848,19303,38400,18709,19691,39776,19254,20522
"Buenos Aires",Pellegrini,93,94,,,,,,,,,,11868,6760,5108,18031,9455,8576,16482,8684,7798,11120,5896,5224,12506,6488,6018,5797,2973,2824,6030,3049,2981,5887,2916,2971
"Buenos Aires",Pergamino,94,95,7757,4002,3755,19933,11489,8444,23945,13721,10224,47460,27767,19693,69609,39134,30475,68968,34874,34094,73318,36492,36826,83807,41049,42758,94592,45633,48959,99193,47656,51537,104590,49267,55323
"Buenos Aires",Pila,95,96,2728,1597,1131,3817,2278,1539,3111,1752,1359,2907,1740,1167,3822,2182,1640,2978,1664,1314,3232,1816,1416,2968,1629,1339,2969,1571,1398,3318,1714,1604,3640,1834,1806
"Buenos Aires",Pilar,96,97,3708,1783,1925,7169,3947,3222,9920,5543,4377,14508,7943,6565,19854,10795,9059,30836,16108,14728,47739,24704,23035,84429,43113,41316,130187,65556,64631,232463,115950,116513,299077,148453,150624
"Buenos Aires",Pinamar,97,98,,,,,,,,,,,,,,,,,,,,,,5326,2788,2538,10316,5320,4996,20666,10246,10420,25728,12820,12908
"Buenos Aires","Presidente Perón",98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,60191,29886,30305,81141,40250,40891
"Buenos Aires",Puán,99,100,,,,,,,3345,2056,1289,12768,7012,5756,19600,10542,9058,20194,10699,9495,18588,9572,9016,18485,9537,8948,17617,8840,8777,16381,8142,8239,15743,7724,8019
"Buenos Aires","Punta Indio",100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,9362,4700,4662,9888,4937,4951
"Buenos Aires",Quilmes,101,102,6809,3903,2906,8431,4649,3782,12048,6581,5467,38783,20493,18290,123132,62997,60135,317783,159409,158374,355265,176455,178810,446587,219062,227525,511234,248766,262468,518788,250577,268211,582943,281928,301015
