provincia,municipio,id,link_2,"1869 total","1869 hombres","1869 mujeres","1881 total","1881 hombres","1881 mujeres","1895 total","1895 hombres","1895 mujeres","1914 total","1914 hombres","1914 mujeres","1947 total","1947 homres","1947 mujeres","1960 total","1960 hombres","1960 mujeres","1970 total","1970 hombres","1970 mujeres","1980 total","1980 hombres","1980 mujeres","1991 total","1991 hombres","1991 mujeres","2001 total","2001 hombres","2001 mujeres","2010 total","2010 hombres","2010 mujeres"
"Buenos Aires","General Belgrano",45,45,,,,,,,5266,3028,2238,8328,4636,3692,11092,5706,5386,10856,5497,5359,11314,5662,5652,12959,6410,6549,13941,6756,7185,15381,7349,8032,17365,8483,8882
"Buenos Aires","General Guido",46,46,2516,1449,1067,3289,1928,1361,3502,1998,1504,5130,2825,2305,5013,2708,2305,4119,2254,1865,3596,1928,1668,3205,1690,1515,2857,1486,1371,2771,1433,1338,2816,1444,1372
"Buenos Aires","General Juan Madariaga",47,47,673,399,274,3146,1942,1204,3201,1822,1379,6694,3679,3015,12252,6653,5599,14890,7737,7153,20567,10890,9677,15526,7745,7781,16923,8295,8628,18286,8848,9438,19747,9527,10220
"Buenos Aires","General Lamadrid",48,48,,,,,,,5055,3133,1922,11607,6417,5190,12283,6650,5633,11527,6132,5395,10514,5411,5103,10593,5490,5103,10641,5427,5214,10984,5496,5488,10783,5328,5455
"Buenos Aires","General Las Heras",49,49,2303,1356,947,3676,2087,1589,3711,2092,1619,5342,2916,2426,6311,3406,2905,7388,3891,3497,7480,3827,3653,9371,4799,4572,10987,5466,5521,12799,6313,6486,14889,7275,7614
"Buenos Aires","General Lavalle",50,50,3381,1948,1433,5144,2902,2242,5938,3298,2640,3931,2028,1903,5666,3118,2548,6855,3635,3220,14639,7903,6736,1234,636,598,3046,1653,1393,3063,1614,1449,3700,1893,1807
"Buenos Aires","General Paz",51,51,5616,3027,2589,6047,3263,2784,6605,3440,3165,8070,4271,3799,9876,5164,4712,8991,4579,4412,8444,4352,4092,8979,4588,4391,9338,4697,4641,10319,5122,5197,11202,5560,5642
"Buenos Aires","General Pinto",52,52,,,,,,,4999,2044,2955,15912,9356,6556,19484,10657,8827,17635,9512,8123,17117,8962,8155,18030,9273,8757,11610,5886,5724,11129,5636,5493,11261,5639,5622
"Buenos Aires","General Pueyrredón",53,53,,,,4030,2406,1624,8175,4639,3536,32940,18697,14243,123811,64904,58907,224824,112434,112390,317444,156752,160692,434160,211875,222285,532845,256408,276437,564056,267738,296318,618989,295294,323695
"Buenos Aires","General Rodríguez",54,54,,,,2549,1500,1049,3591,2075,1516,4492,2433,2059,8518,4308,4210,19013,9941,9072,23596,12350,11246,32035,16280,15755,48383,24295,24088,67931,33712,34219,87185,43221,43964
"Buenos Aires","General San Martín",55,55,2867,1636,1231,3423,1834,1589,7047,3948,3099,50852,27684,23168,269514,137950,131564,278751,139521,139230,360573,179108,181465,385625,187799,197826,406809,196417,210392,403107,193084,210023,414196,198094,216102
"Buenos Aires","General Sarmiento",2216,56,,,,,,,5168,2891,2277,12726,6849,5877,46413,28991,17422,167160,88399,78761,315457,164384,151073,502926,253625,249301,652969,324845,328124,,,,,,
"Buenos Aires","General Viamonte",56,57,,,,,,,,,,15524,9240,6284,19139,10230,8909,16674,8678,7996,16229,8295,7934,16971,8570,8401,17744,8816,8928,17641,8579,9062,18078,8894,9184
"Buenos Aires","General Villegas",57,58,,,,,,,5233,3112,2121,19403,11042,8361,26401,14259,12142,24100,12945,11155,24702,12979,11723,26225,13575,12650,27494,13982,13512,28960,14468,14492,30864,15554,15310
"Buenos Aires",Guaminí,58,59,,,,,,,5774,3379,2395,10545,6028,4517,14385,7853,6532,11787,6417,5370,11981,6360,5621,12210,6313,5897,12284,6220,6064,11257,5673,5584,11826,5928,5898
"Buenos Aires","Hipólito Yrigoyen",59,60,,,,,,,,,,,,,,,,9002,4822,4180,8260,4282,3978,9086,4649,4437,9038,4525,4513,8819,4359,4460,9585,4739,4846
"Buenos Aires",Hurlingham,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,172245,83383,88862,181241,87278,93963
"Buenos Aires",Ituzaingó,61,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,158121,76254,81867,167824,81188,86636
"Buenos Aires","José C. Paz",62,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,230208,114134,116074,265981,131291,134690
